edition,pricing
6,910
11,700
36,630
177,880
266,780
356,910
816,570
1090,570
1365,1010
1431,590
2031,620
2042,630
2167,630
2229,1130
2234,710
2248,640
2319,500
2678,640
2687,880
2699,700
2731,590
2812,500
2914,570
2931,490
2997,710
3043,1550
3054,640
3144,700
3154,420
3155,1030
3156,460
3157,460
3162,700
3270,420
3320,540
3363,780
3404,780
3434,920
3438,930
3529,690
3593,640
3639,570
3647,710
3658,820
3689,840
3740,570
3749,920
3802,490
3806,690
3838,1330
3843,640
3849,570
3852,710
3887,710
3888,590
3890,710
3894,570
3903,630
3909,780
3920,500
3931,420
3938,540
3956,590
3984,910
4000,800
4002,710
4014,700
4016,640
4030,500
4033,1030
4038,940
4060,780
4061,540
4068,710
4071,630
4086,630
4090,640
4107,640
4108,740
4112,710
4113,700
4134,710
4141,630
4142,780
4154,570
4157,420
4176,690
4179,490
4181,780
4183,590
4185,910
4186,710
4203,590
4204,590
4216,490
4219,630
4222,500
4225,630
4241,630
4267,740
4283,540
4289,890
4301,640
4306,570
4314,690
4339,740
4342,560
4347,400
4353,590
4356,620
4360,660
4361,700
4365,700
4369,570
4371,590
4388,790
4391,410
4392,790
4395,290
4406,710
4407,710
4411,420
4419,890
4422,700
4425,630
4426,700
4435,540
4436,570
4440,640
4451,490
4461,620
4467,590
4469,590
4471,590
4476,540
4477,1010
4480,630
4482,460
4483,570
4487,710
4492,700
4493,570
4495,500
4499,740
4500,640
4501,710
4504,490
4507,880
4515,990
4519,590
4521,1230
4523,360
4524,420
4526,940
4528,640
4529,740
4532,740
4533,420
4539,570
4541,700
4542,570
4543,540
4546,540
4548,540
4552,630
4553,490
4554,570
4558,620
4560,640
4563,660
4575,930
4578,420
4579,490
4619,740
4620,360
4621,590
4629,540
4638,330
4639,710
4642,570
4661,490
4672,570
4678,570
4679,690
4684,400
4688,540
4691,720
4693,700
4694,360
4697,740
4703,840
4708,690
4710,540
4712,620
4717,810
4718,490
4725,630
4726,590
4728,330
4729,330
4730,420
4731,540
4734,880
4738,740
4742,370
4746,910
4748,780
4750,490
4752,590
4753,540
4756,540
4761,620
4763,630
4768,1130
4770,570
4771,700
4775,910
4779,720
4780,980
4781,660
4782,640
4788,540
4790,490
4796,710
4800,630
4802,610
4806,780
4807,570
4813,360
4815,490
4819,590
4823,720
4827,690
4828,980
4829,690
4830,690
4831,1040
4835,570
4836,2090
4837,1370
4839,1000
4841,490
4842,1150
4843,1160
4844,1160
4845,1160
4846,640
4847,640
4849,690
4850,700
4853,490
4857,590
4859,740
4862,570
4864,630
4865,1120
4866,500
4868,420
4869,700
4874,570
4875,620
4877,590
4879,720
4882,570
4884,570
4885,1470
4886,840
4887,880
4888,880
4889,1030
4890,570
4891,570
4892,620
4893,710
4894,500
4895,570
4897,360
4897,720
4901,630
4903,700
4906,570
4907,630
4908,570
4910,370
4912,640
4913,700
4915,590
4916,360
4918,590
4919,790
4923,890
4925,490
4927,630
4929,570
4930,710
4931,790
4934,490
4935,710
4936,490
4937,360
4940,1030
4941,1070
4942,740
4943,710
4944,710
4946,570
4948,640
4949,640
4950,970
4954,360
4957,550
4959,640
4960,540
4960,820
4964,570
4965,1240
4966,1370
4968,910
4972,700
4974,540
4975,740
4977,290
4979,640
4980,630
4981,360
4982,570
4984,540
4987,570
4987,570
4991,1240
4992,490
4996,570
